2026-05-21 20:29:10 | logger | INFO     | service.py:69 | check_all_locations | Информации о качестве воздуха в локации 14975 не обнаружено
2026-05-21 20:29:11 | logger | INFO     | service.py:57 | check_all_locations | Проверка локации 14976 (координаты -89.35, 109.02)
2026-05-21 20:29:11 | logger | INFO     | extract.py:48 | find_nearby_locations | Запрашиваем OpenAQ: https://api.openaq.org/v3/locations?coordinates=-89.35%2C109.02&radius=25000&limit=15
2026-05-21 20:29:11 | logger | INFO     | extract.py:56 | find_nearby_locations | OpenAQ: найдено 0 станций в радиусе 25000м от (-89.35, 109.02)
2026-05-21 20:29:11 | logger | WARNING  | extract.py:86 | extract_air_quality | Нет станций OpenAQ вблизи (-89.35, 109.02)
2026-05-21 20:29:11 | logger | INFO     | service.py:69 | check_all_locations | Информации о качестве воздуха в локации 14976 не обнаружено
2026-05-21 20:29:11 | logger | INFO     | service.py:57 | check_all_locations | Проверка локации 14977 (координаты 19.65, 100.52)
2026-05-21 20:29:11 | logger | INFO     | extract.py:48 | find_nearby_locations | Запрашиваем OpenAQ: https://api.openaq.org/v3/locations?coordinates=19.65%2C100.52&radius=25000&limit=15
2026-05-21 20:29:11 | logger | INFO     | extract.py:56 | find_nearby_locations | OpenAQ: найдено 1 станций в радиусе 25000м от (19.65, 100.52)
2026-05-21 20:29:13 | logger | INFO     | service.py:64 | check_all_locations | Найдены данные о качестве воздуха в локации 14977 (координаты 19.65, 100.52)
2026-05-21 20:29:13 | logger | INFO     | service.py:57 | check_all_locations | Проверка локации 14978 (координаты -32.22, -122.79)
2026-05-21 20:29:13 | logger | INFO     | extract.py:48 | find_nearby_locations | Запрашиваем OpenAQ: https://api.openaq.org/v3/locations?coordinates=-32.22%2C-122.79&radius=25000&limit=15
2026-05-21 20:29:13 | logger | INFO     | extract.py:56 | find_nearby_locations | OpenAQ: найдено 0 станций в радиусе 25000м от (-32.22, -122.79)
2026-05-21 20:29:13 | logger | WARNING  | extract.py:86 | extract_air_quality | Нет станций OpenAQ вблизи (-32.22, -122.79)
2026-05-21 20:29:13 | logger | INFO     | service.py:69 | check_all_locations | Информации о качестве воздуха в локации 14978 не обнаружено
2026-05-21 20:29:13 | logger | INFO     | service.py:57 | check_all_locations | Проверка локации 14979 (координаты -25.4, -106.43)
2026-05-21 20:29:13 | logger | INFO     | extract.py:48 | find_nearby_locations | Запрашиваем OpenAQ: https://api.openaq.org/v3/locations?coordinates=-25.4%2C-106.43&radius=25000&limit=15
2026-05-21 20:29:13 | logger | INFO     | extract.py:56 | find_nearby_locations | OpenAQ: найдено 0 станций в радиусе 25000м от (-25.4, -106.43)
2026-05-21 20:29:13 | logger | WARNING  | extract.py:86 | extract_air_quality | Нет станций OpenAQ вблизи (-25.4, -106.43)
2026-05-21 20:29:13 | logger | INFO     | service.py:69 | check_all_locations | Информации о качестве воздуха в локации 14979 не обнаружено
2026-05-21 20:29:13 | logger | INFO     | service.py:57 | check_all_locations | Проверка локации 14980 (координаты -56.06, -177.75)
2026-05-21 20:29:13 | logger | INFO     | extract.py:48 | find_nearby_locations | Запрашиваем OpenAQ: https://api.openaq.org/v3/locations?coordinates=-56.06%2C-177.75&radius=25000&limit=15
2026-05-21 20:29:14 | logger | INFO     | extract.py:56 | find_nearby_locations | OpenAQ: найдено 0 станций в радиусе 25000м от (-56.06, -177.75)
2026-05-21 20:29:14 | logger | WARNING  | extract.py:86 | extract_air_quality | Нет станций OpenAQ вблизи (-56.06, -177.75)
2026-05-21 20:29:14 | logger | INFO     | service.py:69 | check_all_locations | Информации о качестве воздуха в локации 14980 не обнаружено
2026-05-21 20:29:14 | logger | INFO     | service.py:57 | check_all_locations | Проверка локации 14981 (координаты -44.02, -41.44)
2026-05-21 20:29:14 | logger | INFO     | extract.py:48 | find_nearby_locations | Запрашиваем OpenAQ: https://api.openaq.org/v3/locations?coordinates=-44.02%2C-41.44&radius=25000&limit=15
2026-05-21 20:29:14 | logger | INFO     | extract.py:56 | find_nearby_locations | OpenAQ: найдено 0 станций в радиусе 25000м от (-44.02, -41.44)
2026-05-21 20:29:14 | logger | WARNING  | extract.py:86 | extract_air_quality | Нет станций OpenAQ вблизи (-44.02, -41.44)
2026-05-21 20:29:14 | logger | INFO     | service.py:69 | check_all_locations | Информации о качестве воздуха в локации 14981 не обнаружено
2026-05-21 20:29:14 | logger | INFO     | service.py:57 | check_all_locations | Проверка локации 14982 (координаты -18.76, 120.43)
2026-05-21 20:29:14 | logger | INFO     | extract.py:48 | find_nearby_locations | Запрашиваем OpenAQ: https://api.openaq.org/v3/locations?coordinates=-18.76%2C120.43&radius=25000&limit=15
2026-05-21 20:29:14 | logger | INFO     | extract.py:56 | find_nearby_locations | OpenAQ: найдено 0 станций в радиусе 25000м от (-18.76, 120.43)
2026-05-21 20:29:14 | logger | WARNING  | extract.py:86 | extract_air_quality | Нет станций OpenAQ вблизи (-18.76, 120.43)
2026-05-21 20:29:14 | logger | INFO     | service.py:69 | check_all_locations | Информации о качестве воздуха в локации 14982 не обнаружено
2026-05-21 20:29:14 | logger | INFO     | service.py:57 | check_all_locations | Проверка локации 14983 (координаты -50.34, -132.53)
2026-05-21 20:29:14 | logger | INFO     | extract.py:48 | find_nearby_locations | Запрашиваем OpenAQ: https://api.openaq.org/v3/locations?coordinates=-50.34%2C-132.53&radius=25000&limit=15
2026-05-21 20:29:15 | logger | INFO     | extract.py:56 | find_nearby_locations | OpenAQ: найдено 0 станций в радиусе 25000м от (-50.34, -132.53)
2026-05-21 20:29:15 | logger | WARNING  | extract.py:86 | extract_air_quality | Нет станций OpenAQ вблизи (-50.34, -132.53)
2026-05-21 20:29:15 | logger | INFO     | service.py:69 | check_all_locations | Информации о качестве воздуха в локации 14983 не обнаружено
2026-05-21 20:29:15 | logger | INFO     | service.py:57 | check_all_locations | Проверка локации 14984 (координаты -11.5, -66.67)
2026-05-21 20:29:15 | logger | INFO     | extract.py:48 | find_nearby_locations | Запрашиваем OpenAQ: https://api.openaq.org/v3/locations?coordinates=-11.5%2C-66.67&radius=25000&limit=15
2026-05-21 20:29:15 | logger | INFO     | extract.py:56 | find_nearby_locations | OpenAQ: найдено 0 станций в радиусе 25000м от (-11.5, -66.67)
2026-05-21 20:29:15 | logger | WARNING  | extract.py:86 | extract_air_quality | Нет станций OpenAQ вблизи (-11.5, -66.67)
2026-05-21 20:29:15 | logger | INFO     | service.py:69 | check_all_locations | Информации о качестве воздуха в локации 14984 не обнаружено
2026-05-21 20:29:15 | logger | INFO     | service.py:57 | check_all_locations | Проверка локации 14985 (координаты -77.35, -118.59)
2026-05-21 20:29:15 | logger | INFO     | extract.py:48 | find_nearby_locations | Запрашиваем OpenAQ: https://api.openaq.org/v3/locations?coordinates=-77.35%2C-118.59&radius=25000&limit=15
2026-05-21 20:29:15 | logger | INFO     | extract.py:56 | find_nearby_locations | OpenAQ: найдено 0 станций в радиусе 25000м от (-77.35, -118.59)
2026-05-21 20:29:15 | logger | WARNING  | extract.py:86 | extract_air_quality | Нет станций OpenAQ вблизи (-77.35, -118.59)
2026-05-21 20:29:15 | logger | INFO     | service.py:69 | check_all_locations | Информации о качестве воздуха в локации 14985 не обнаружено
2026-05-21 20:29:16 | logger | INFO     | service.py:57 | check_all_locations | Проверка локации 14986 (координаты 8.02, -39.52)
2026-05-21 20:29:16 | logger | INFO     | extract.py:48 | find_nearby_locations | Запрашиваем OpenAQ: https://api.openaq.org/v3/locations?coordinates=8.02%2C-39.52&radius=25000&limit=15
2026-05-21 20:29:16 | logger | INFO     | extract.py:56 | find_nearby_locations | OpenAQ: найдено 0 станций в радиусе 25000м от (8.02, -39.52)
2026-05-21 20:29:16 | logger | WARNING  | extract.py:86 | extract_air_quality | Нет станций OpenAQ вблизи (8.02, -39.52)
2026-05-21 20:29:16 | logger | INFO     | service.py:69 | check_all_locations | Информации о качестве воздуха в локации 14986 не обнаружено
2026-05-21 20:29:16 | logger | INFO     | service.py:57 | check_all_locations | Проверка локации 14987 (координаты -77.75, -174.0)
2026-05-21 20:29:16 | logger | INFO     | extract.py:48 | find_nearby_locations | Запрашиваем OpenAQ: https://api.openaq.org/v3/locations?coordinates=-77.75%2C-174.0&radius=25000&limit=15
2026-05-21 20:29:16 | logger | INFO     | extract.py:56 | find_nearby_locations | OpenAQ: найдено 0 станций в радиусе 25000м от (-77.75, -174.0)
